iter	Passed	Remaining
0	183	18141
1	202	9918
2	221	7149
3	236	5684
4	252	4789
5	262	4113
6	270	3595
7	280	3227
8	289	2928
9	296	2672
10	303	2457
11	310	2274
12	317	2122
13	325	1997
14	331	1879
15	338	1775
16	343	1678
17	349	1593
18	355	1514
19	360	1441
20	365	1375
21	370	1314
22	378	1268
23	385	1219
24	391	1173
25	398	1134
26	405	1096
27	410	1056
28	417	1021
29	422	986
30	429	955
31	434	923
32	440	893
33	445	865
34	450	837
35	457	812
36	462	787
37	469	765
38	474	742
39	480	720
40	486	699
41	492	679
42	498	661
43	506	644
44	512	626
45	518	609
46	525	593
47	532	577
48	539	561
49	548	548
50	553	532
51	560	517
52	565	501
53	572	487
54	578	473
55	587	461
56	593	448
57	600	435
58	606	421
59	613	408
60	618	395
61	626	384
62	632	371
63	638	359
64	644	346
65	650	335
66	656	323
67	662	311
68	668	300
69	675	289
70	681	278
71	687	267
72	693	256
73	698	245
74	704	234
75	709	224
76	715	213
77	720	203
78	725	192
79	730	182
80	736	172
81	741	162
82	747	153
83	753	143
84	758	133
85	764	124
86	769	115
87	775	105
88	781	96
89	786	87
90	792	78
91	797	69
92	803	60
93	810	51
94	817	43
95	823	34
96	830	25
97	836	17
98	841	8
99	847	0
