institution_code,institution_name,short_name,institution_type,institution_group,address,postal_code,province_code,province_name,regency_code,regency_name,district_name,latitude,longitude,institution_status,accreditation,website,program_count,tuition_range,founding_date
423001,Sekolah Tinggi Ilmu Pelayaran Jakarta,STIP,Sekolah Tinggi,PTKL,"JL. MARUNDA MAKMUR, CILINCING, JAKARTA UTARA",14150,31,D.K.I. Jakarta,3172,Kota Jakarta Utara,,,,Aktif,Unggul,www.stipjakarta.ac.id,5,100.000 - 32.475.000,
005031,Politeknik Negeri Bengkalis,Polbeng,Politeknik,PTN,"Jalan Bathin Alam, Desa Sungai Alam, Kecamatan Bengkalis",28711,14,Riau,1403,Kab. Bengkalis,Kec. Bengkalis,1.45907,102.15088,Aktif,,polbeng.ac.id,27,500.000 - 3.000.000,2011-07-29
033184,Sekolah Tinggi Desain Interstudi,STDI Interstudi,Sekolah Tinggi,PTS,Jln. Kapten Tendean No. 02 Kebayoran Baru JAKARTA SELATAN,12720,31,D.K.I. Jakarta,3174,Kota Jakarta Selatan,,,,Aktif,Baik,www.interstudi.edu,4,9.000.000 - 9.900.000,2007-01-04
014181,Akademi Kebidanan Eunice Rajawali Binjai,,Akademi,PTS,Jl Cut Nyak Dien No 37 B-c,12345,12,Sumatera Utara,1275,Kota Binjai,Kec. Binjai Kota,,,Tutup,,,1,,2007-10-01
213573,STEI Ar Risalah Ciamis Jawa Barat,STEI Ar-Risalah Ciam,,PTA,,,32,Jawa Barat,3207,Kab. Ciamis,,-7.325859,108.3831484,Aktif,Baik,www.steirisalah.ac.id,2,950.000 - 1.200.000,2016-02-01
064166,Akademi Teknologi Bank Darah Surakarta,,Akademi,PTS,"Jl. Kol. Sutarto 58 Jebres, Surakarta",57126,33,Jawa Tengah,3372,Kota Surakarta,Kec. Jebres,-7.5471414,110.8498705,Alih Bentuk,,www.akbara.ac.id,1,,2016-06-09
014227,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Akademi Farmasi,Akademi,PTS,Jl. Arjuna Pintubosi - Laguboti Kecamatan Laguboti Kabupaten Toba Samosir,22381,12,Sumatera Utara,,Kab. Toba Samosir,Kec. Lagu Boti,,,Alih Bentuk,,,1,,2010-12-23
233312,STT Sriwijaya Palembang,STTS,,PTA,,,16,Sumatera Selatan,1607,Kab. Banyuasin,,-2.8020867,104.4565783,Aktif,Baik,www.stt-sriwijaya.ac.id,3,3.600.000 - 6.000.000,2014-07-25
213460,STAI Asy-Syukriyyah Tangerang,STAI Asy-Syukriyyah,,PTA,,,36,Banten,3671,Kota Tangerang,,-6.1867884,106.658374,Alih Bentuk,Baik,http://asy-syukriyyah.ac.id/,6,,2002-08-09
201011,Universitas Islam Negeri Ar-Raniry Banda Aceh,UINAR,Universitas,PTA,Jl. Syeikh Abdur Rauf Kopelma Darussalam Banda Aceh,23111,11,Aceh,1171,Kota Banda Aceh,,5.5787581,95.3681624,Aktif,Unggul,http://www.uin.ar-raniry.ac.id,62,400.000 - 2.927.000,2013-10-01
